_metric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/batch,config/drop,config/epoch,config/linear,config/lr
1.702402711,0.031990051,FALSE,,,2000,1aca8_00101,6f5c4f0222564347bb090919eac06cd2,2022-04-09_13-39-38,1649525978,49.13609195,5020,DESKTOP-IMPI4GQ,127.0.0.1,49.13609195,0,2000,2048,0.5,2000,40,0.005
1.702765346,0.03199029,FALSE,,,3000,1aca8_00009,31a2395ba7cb4e86bcb856d7704cdeaf,2022-04-09_13-07-40,1649524060,81.10493255,15196,DESKTOP-IMPI4GQ,127.0.0.1,81.10493255,0,3000,2048,0.4,3000,40,0.001
1.70325911,0.020994186,FALSE,,,2000,1aca8_00012,e29192e578d440c7863f99f6edad5028,2022-04-09_13-08-50,1649524130,62.64188814,7816,DESKTOP-IMPI4GQ,127.0.0.1,62.64188814,0,2000,1024,0.3,2000,60,0.001
1.70349586,0.015994072,FALSE,,,2000,1aca8_00051,534fb2b260924cc7b90c5ff7aafb19a0,2022-04-09_13-22-00,1649524920,48.7192266,2920,DESKTOP-IMPI4GQ,127.0.0.1,48.7192266,0,2000,2048,0.4,2000,40,0.002
1.703583121,0.022992849,FALSE,,,3000,1aca8_00054,dc09c282df96487bb763db45ccb80dbc,2022-04-09_13-23-30,1649525010,83.89313626,11428,DESKTOP-IMPI4GQ,127.0.0.1,83.89313626,0,3000,1024,0.3,3000,40,0.002
1.704049587,0.092970848,FALSE,,,2000,1aca8_00182,a4f1dc7c80c04c7e9177e2f7ecc5f0bc,2022-04-09_14-08-45,1649527725,72.74954057,14840,DESKTOP-IMPI4GQ,127.0.0.1,72.74954057,0,2000,1024,0.4,2000,100,0.01
1.705235243,0.016993046,FALSE,,,2000,1aca8_00172,4a43e3b977f84c009e2018cd45474c3b,2022-04-09_14-04-14,1649527454,65.32585001,5756,DESKTOP-IMPI4GQ,127.0.0.1,65.32585001,0,2000,1024,0.5,2000,80,0.01
1.705343843,0.049982548,FALSE,,,2000,1aca8_00048,88e0f84e5e524936b3e040e4826aa0b6,2022-04-09_13-21-03,1649524863,52.01316214,7636,DESKTOP-IMPI4GQ,127.0.0.1,52.01316214,0,2000,1024,0.3,2000,40,0.002
1.705958724,0.013997078,FALSE,,,3000,1aca8_00008,80aced3ec81f4d17ab9476822b5eca08,2022-04-09_13-07-42,1649524062,83.7670691,11996,DESKTOP-IMPI4GQ,127.0.0.1,83.7670691,0,3000,1024,0.4,3000,40,0.001
1.706282616,0.031991482,FALSE,,,3000,1aca8_00059,101bb4f53e874c868e00cd176c081cc1,2022-04-09_13-24-52,1649525092,75.76170325,900,DESKTOP-IMPI4GQ,127.0.0.1,75.76170325,0,3000,2048,0.5,3000,40,0.002
